Rüblər,GDP,Dövlət_Gəlirləri,Dövlət_Xərcləri ,Əhalinin_nominal_gəlirləri,Əhalinin_banklardakı_əmanətləri,Orta_aylıq_əməkhaqqı,Xarici_ticarət_dövriyyəsi,İxrac,İdxal ,Pul_bazası,Oil_Price,Tikinti-quraşdırma_işlərinə_sərf_edilmiş_vəsait,İstehlak_xərcləri,Yaşayış_evlərinin_tikintisinə_yönəldilmiş_investisiyalar,Mənzil_qiymətləri,Uçot_faiz_dərəcəsi,Kumulyativ_satish,Nağd_pul_kredit_satışı,Portfel,NPLs,ROA ,ROE,Net_Interest_Margin,Efficiency_Ratio,Loan-to-Deposit_Ratio,Müştəri_sayı,Year,Quarter,NPL_percentage,Time_Index,Quarter_Sin,Quarter_Cos
2022 III,34713400.0,8196000.0,7534100.0,17991800.0,11225700.0,0.8274,26130020.0,19438310.0,6691709.999999998,16144900.0,0.1712126666666667,2609270.000000001,0.3267614,273015.7,1.356772343039107,0.075,285532391.6,108253864.25,531929.56961,17057.36131000002,0.04704747137968012,0.2642748832766934,0.03071032491344275,0.5926391778189986,1.414254773484769,59127.0,2022,3,3.2066954507729526,10,-1.0,-1.8369701987210297e-16
2022 IV,35747999.99999999,8259099.999999998,11537600.0,17963100.00000001,11743000.0,0.8393999999999999,25425030.0,18205809.99999999,7219220.0,17460300.0,0.1505463333333333,3102579.600000002,0.33343,265299.2000000001,1.392998164598251,0.08125,410794411.91,125262020.31,577534.37497,13725.092165000151,0.05257293786180233,0.3000615789941053,0.03031781014565296,0.6167530657013585,1.4076329135279,62920.0,2022,4,2.3764978778472017,11,-2.4492935982947064e-16,1.0
2023 I,30310600.0,8290000.0,6567000.0,18479900.0,11964400.0,0.9013,20857810.0,14006980.0,6850830.0,17688900.0,0.1379946666666667,931341.1,0.3295,185334.7,1.436181107700797,0.085,76131985.0,76131985.0,583589.24106,13917.08009000012,0.01295778204362716,0.07198844297250113,0.02844664397060855,0.6551484472418477,1.335459354909199,56186.0,2023,1,2.3847389757771897,12,1.0,6.123233995736766e-17
2023 II,29991500.0,7190000.0,7496299.999999999,19391200.0,12748800.0,0.9218999999999999,18163480.0,11076860.0,7086620.000000001,18401700.0,0.1331383333333334,3413103.599999999,0.33751,213512.8,1.452840808550127,0.08875,176926517.0,100794532.0,617854.0735200001,16579.60016000002,0.02145468341710835,0.130726238067897,0.02725783709828491,0.6602236322696248,1.262878405994331,76558.0,2023,2,2.683416824549484,13,1.2246467991473532e-16,-1.0
2023 III,30510400.0,6597000.0,9151200.0,20147200.0,12705500.0,0.9198,18084940.0,10578250.0,7506690.000000002,17896200.0,0.147322,3196767.100000001,0.34523,240258.2,1.493375067108675,0.09,281845104.42,104918587.42,643085.23779,22302.806459999938,0.0297812123262303,0.1764440790741645,0.02716691213264652,0.6751261750993975,1.28415668586133,91918.0,2023,3,3.468094919523396,14,-1.0,-1.8369701987210297e-16
2023 IV,32193000.0,13497800.0,13244000.0,20031899.99999999,12947800.0,0.9338,19170220.0,11229350.0,7940869.999999997,20875200.0,0.1423296666666667,5075198.399999999,0.34811,332326.4,1.518911780756233,0.085,376492131.66,94647027.24000007,659043.31908,17300.444700000022,0.0292329177582292,0.1831934981693755,0.02582138017020799,0.7313097865186329,1.162401840920479,108724.0,2023,4,2.62508460356609,15,-2.4492935982947064e-16,1.0
2024 I,29096800.0,9234300.0,8412600.0,19408100.0,13150500.0,0.9853,16839350.0,10529630.0,6309719.999999999,20396400.0,0.1411056666666667,2413844.599999999,0.34954,233462.2,1.552024057576719,0.0775,92049808.42,92049808.42,669359.78759,16430.220099999962,0.003798249953003677,0.02458574868108752,0.02381878484141557,0.7462670094618404,1.070928367024626,139975.0,2024,1,2.4546171438168156,16,1.0,6.123233995736766e-17
2024 II ,30423600.0,9608600.000000002,7639500.0,20473100.0,14180700.0,1.0028,20848290.0,12083770.0,8764520.0,20401000.0,0.1438993333333333,2868130.700000001,0.35345,630847.3999999999,1.58601338443765,0.0725,207387290.42,115337482.0,712667.61041,16226.821889999912,0.01157529390593537,0.07863605440986166,0.02506292940517587,0.7452009047450583,1.12544067520037,198624.0,2024,2,2.27691305918401,17,1.2246467991473532e-16,-1.0
2024 III,33309100.00000001,8894099.999999998,9121900.0,21705800.0,14164000.0,0.993,20407990.0,10588790.0,9819199.999999998,20897400.0,0.1357336666666666,3590035.8,0.36143,800935.4,1.645647487692506,0.0725,333672704.22,126285413.8,750604.1268900001,20050.513880000002,0.0217890357796433,0.1338343126653593,0.02837376944646387,0.7261943040999502,1.209126593895528,224272.0,2024,3,2.6712501519377305,18,-1.0,-1.8369701987210297e-16
2024 IV,33507500.0,9427199.999999996,12545700.0,21506399.99999999,14661900.0,1.0092,22478250.0,11573090.0,10905160.0,20916500.0,0.1268426666666667,5155278.899999999,0.36352,907499.8999999999,1.699953854786358,0.0725,444555889.29,110883185.07,760424.19,17582.01408000001,0.02775521638601384,0.1665502544374174,0.02798230410890132,0.7329011968594001,1.190267307638658,250864.0,2024,4,2.3121324007328083,19,-2.4492935982947064e-16,1.0
2025 I,29892900.0,9733400.0,8115000.0,20690700.0,15074000.0,1.0838,20325710.0,10698610.0,9627100.0,21498100.0,0.1288826666666667,2344373.1,0.36776,682931.6,1.775091815167915,0.0725,93983081.41,93983081.41,777043.67135,23714.63964999981,0.007107397181280365,0.04381523517572593,0.02549964355115957,0.6797272435746958,1.164487081216225,245777.0,2025,1,3.0519056424202113,20,1.0,6.123233995736766e-17
2025 II,32185300.0,10070500.0,8980599.999999998,22057100.0,15437000.0,1.0973,20413600.0,10453130.0,9960470.000000002,21471300.0,0.1156113333333333,3355171.7,0.37446,650612.9,1.794617825134762,0.07125000000000001,217143146.86,123160065.45,817018.92578,26273.90153000004,0.01352710580976849,0.08924951171827195,0.02478419176751925,0.686424272980111,1.144462994699868,252200.0,2025,2,3.21582532557818,21,1.2246467991473532e-16,-1.0
2025 III,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,3,,22,-1.0,-1.8369701987210297e-16
